datetime,1f_1,1f_but,2f_he,2f_2,1f_ele
2023-01-01 00:00:00,48,28,47,27,9
2023-01-01 01:00:00,12,12,13,6,7
2023-01-01 02:00:00,29,22,17,7,9
2023-01-01 03:00:00,34,13,16,9,5
2023-01-01 04:00:00,36,12,8,5,9
2023-01-01 05:00:00,23,5,29,7,7
2023-01-01 06:00:00,12,19,21,9,9
2023-01-01 07:00:00,22,10,6,9,8
2023-01-01 08:00:00,25,20,20,8,7
2023-01-01 09:00:00,30,14,19,5,8
2023-01-01 10:00:00,13,24,8,8,6
2023-01-01 11:00:00,44,29,20,27,7
2023-01-01 12:00:00,28,38,46,37,7
2023-01-01 13:00:00,74,22,25,12,10
2023-01-01 14:00:00,30,33,33,29,7
2023-01-01 15:00:00,102,83,74,31,8
2023-01-01 16:00:00,98,67,71,28,12
2023-01-01 17:00:00,88,89,67,38,11
2023-01-01 18:00:00,62,60,73,36,9
2023-01-01 19:00:00,70,85,65,57,14
2023-01-01 20:00:00,116,66,67,53,10
2023-01-01 21:00:00,100,63,86,49,9
2023-01-01 22:00:00,67,45,50,20,8
2023-01-01 23:00:00,59,51,34,13,7
2023-01-02 00:00:00,56,68,63,33,20
2023-01-02 01:00:00,22,15,15,7,13
2023-01-02 02:00:00,13,30,11,15,15
2023-01-02 03:00:00,30,19,27,19,15
2023-01-02 04:00:00,48,26,16,7,19
2023-01-02 05:00:00,39,32,17,5,14
2023-01-02 06:00:00,19,34,31,18,16
2023-01-02 07:00:00,44,10,39,17,15
2023-01-02 08:00:00,23,13,11,14,13
2023-01-02 09:00:00,11,26,31,18,16
2023-01-02 10:00:00,31,37,30,13,19
2023-01-02 11:00:00,79,27,38,29,16
2023-01-02 12:00:00,51,33,32,23,17
2023-01-02 13:00:00,40,54,51,18,17
2023-01-02 14:00:00,93,47,47,17,18
2023-01-02 15:00:00,91,79,67,48,28
2023-01-02 16:00:00,136,85,74,44,26
2023-01-02 17:00:00,82,83,66,63,23
2023-01-02 18:00:00,116,80,88,52,23
2023-01-02 19:00:00,87,80,81,56,27
2023-01-02 20:00:00,137,93,76,65,24
2023-01-02 21:00:00,113,87,66,34,25
2023-01-02 22:00:00,41,42,39,37,21
2023-01-02 23:00:00,35,70,44,27,23
2023-01-03 00:00:00,44,57,51,22,22
2023-01-03 01:00:00,25,21,20,12,13
2023-01-03 02:00:00,16,14,24,12,16
2023-01-03 03:00:00,24,18,36,5,15
2023-01-03 04:00:00,11,25,28,5,19
2023-01-03 05:00:00,22,20,17,5,10
2023-01-03 06:00:00,31,18,31,9,14
2023-01-03 07:00:00,27,22,37,19,18
2023-01-03 08:00:00,38,21,32,5,14
2023-01-03 09:00:00,26,11,20,14,19
2023-01-03 10:00:00,28,27,36,12,13
2023-01-03 11:00:00,83,49,25,36,24
2023-01-03 12:00:00,48,48,37,21,19
2023-01-03 13:00:00,42,39,35,35,21
2023-01-03 14:00:00,53,63,63,39,23
2023-01-03 15:00:00,148,68,60,34,22
2023-01-03 16:00:00,144,74,76,63,20
2023-01-03 17:00:00,81,84,78,44,23
2023-01-03 18:00:00,141,89,63,68,23
2023-01-03 19:00:00,84,78,79,42,20
2023-01-03 20:00:00,127,82,98,49,25
2023-01-03 21:00:00,81,99,89,35,24
2023-01-03 22:00:00,36,53,53,16,19
2023-01-03 23:00:00,81,67,34,26,24
2023-01-04 00:00:00,84,73,58,28,19
2023-01-04 01:00:00,26,30,22,10,11
2023-01-04 02:00:00,43,38,29,11,19
2023-01-04 03:00:00,19,24,39,5,17
2023-01-04 04:00:00,21,31,38,14,12
2023-01-04 05:00:00,11,22,28,13,11
2023-01-04 06:00:00,16,39,35,6,12
2023-01-04 07:00:00,19,22,38,14,10
2023-01-04 08:00:00,30,16,15,18,15
2023-01-04 09:00:00,41,23,39,15,14
2023-01-04 10:00:00,32,30,26,15,15
2023-01-04 11:00:00,32,27,33,30,20
2023-01-04 12:00:00,46,25,64,17,17
2023-01-04 13:00:00,43,43,53,41,23
2023-01-04 14:00:00,61,45,28,40,15
2023-01-04 15:00:00,137,73,66,50,21
2023-01-04 16:00:00,84,74,70,40,28
2023-01-04 17:00:00,83,84,96,51,28
2023-01-04 18:00:00,97,98,91,56,27
2023-01-04 19:00:00,80,86,78,35,28
2023-01-04 20:00:00,131,87,74,35,28
2023-01-04 21:00:00,98,88,77,44,29
2023-01-04 22:00:00,34,43,74,44,18
2023-01-04 23:00:00,91,39,34,35,23
2023-01-05 00:00:00,63,54,47,20,23
2023-01-05 01:00:00,40,21,12,8,12
2023-01-05 02:00:00,48,25,35,12,12
2023-01-05 03:00:00,28,31,13,19,14
2023-01-05 04:00:00,26,39,32,19,12
2023-01-05 05:00:00,44,33,24,9,13
2023-01-05 06:00:00,21,11,19,15,16
2023-01-05 07:00:00,41,10,33,16,14
2023-01-05 08:00:00,23,25,24,10,19
2023-01-05 09:00:00,28,15,22,13,19
2023-01-05 10:00:00,47,30,28,12,16
2023-01-05 11:00:00,34,33,70,15,17
2023-01-05 12:00:00,87,40,65,15,22
2023-01-05 13:00:00,67,57,63,44,18
2023-01-05 14:00:00,53,36,61,33,23
2023-01-05 15:00:00,98,74,76,31,24
2023-01-05 16:00:00,128,66,64,34,23
2023-01-05 17:00:00,140,72,83,59,22
2023-01-05 18:00:00,101,90,69,50,23
2023-01-05 19:00:00,133,92,90,35,29
2023-01-05 20:00:00,124,63,65,32,22
2023-01-05 21:00:00,94,87,78,45,20
2023-01-05 22:00:00,45,72,56,27,20
2023-01-05 23:00:00,61,27,43,20,23
2023-01-06 00:00:00,93,63,31,33,22
2023-01-06 01:00:00,20,26,14,10,17
2023-01-06 02:00:00,16,39,38,6,10
2023-01-06 03:00:00,12,33,10,13,10
2023-01-06 04:00:00,39,33,22,12,16
2023-01-06 05:00:00,26,30,34,19,16
2023-01-06 06:00:00,38,23,21,8,12
2023-01-06 07:00:00,41,13,20,11,12
2023-01-06 08:00:00,43,19,10,7,19
2023-01-06 09:00:00,18,25,27,18,16
2023-01-06 10:00:00,31,18,22,18,12
2023-01-06 11:00:00,73,54,32,19,17
2023-01-06 12:00:00,86,68,69,29,15
2023-01-06 13:00:00,43,42,39,25,19
2023-01-06 14:00:00,39,52,50,35,21
2023-01-06 15:00:00,112,98,90,32,28
2023-01-06 16:00:00,84,63,80,39,28
2023-01-06 17:00:00,86,74,69,44,24
2023-01-06 18:00:00,85,65,87,68,25
2023-01-06 19:00:00,147,77,63,36,27
2023-01-06 20:00:00,97,98,76,64,29
2023-01-06 21:00:00,94,73,70,69,29
2023-01-06 22:00:00,74,33,65,33,20
2023-01-06 23:00:00,60,65,68,33,15
2023-01-07 00:00:00,33,27,21,36,7
2023-01-07 01:00:00,12,19,18,8,9
2023-01-07 02:00:00,22,18,7,6,8
2023-01-07 03:00:00,19,18,22,7,7
2023-01-07 04:00:00,14,14,24,8,9
2023-01-07 05:00:00,33,23,6,8,7
2023-01-07 06:00:00,35,10,24,6,6
2023-01-07 07:00:00,36,23,28,8,9
2023-01-07 08:00:00,14,19,8,5,7
2023-01-07 09:00:00,17,18,9,6,5
2023-01-07 10:00:00,22,8,25,6,8
2023-01-07 11:00:00,27,27,27,15,6
2023-01-07 12:00:00,58,16,25,19,10
2023-01-07 13:00:00,20,46,30,31,6
2023-01-07 14:00:00,69,25,37,19,9
2023-01-07 15:00:00,78,87,86,25,9
2023-01-07 16:00:00,70,80,87,23,12
2023-01-07 17:00:00,84,82,59,53,14
2023-01-07 18:00:00,60,72,51,47,8
2023-01-07 19:00:00,78,50,60,32,13
2023-01-07 20:00:00,110,74,52,30,14
2023-01-07 21:00:00,62,52,51,26,7
2023-01-07 22:00:00,69,22,43,22,8
2023-01-07 23:00:00,53,21,53,14,6
2023-01-08 00:00:00,51,43,26,36,7
2023-01-08 01:00:00,23,25,25,9,9
2023-01-08 02:00:00,33,20,17,9,7
2023-01-08 03:00:00,13,5,26,6,8
2023-01-08 04:00:00,35,12,5,5,5
2023-01-08 05:00:00,13,20,5,7,7
2023-01-08 06:00:00,16,5,9,7,9
2023-01-08 07:00:00,30,11,28,6,6
2023-01-08 08:00:00,35,28,7,6,9
2023-01-08 09:00:00,30,23,10,7,6
2023-01-08 10:00:00,18,23,20,7,8
2023-01-08 11:00:00,26,35,17,14,11
2023-01-08 12:00:00,65,37,39,10,10
2023-01-08 13:00:00,47,22,18,27,11
2023-01-08 14:00:00,25,18,32,28,7
2023-01-08 15:00:00,95,75,67,47,7
2023-01-08 16:00:00,100,71,88,59,9
2023-01-08 17:00:00,80,61,51,45,14
2023-01-08 18:00:00,66,65,56,33,11
2023-01-08 19:00:00,61,87,77,22,14
2023-01-08 20:00:00,111,67,72,34,10
2023-01-08 21:00:00,106,67,87,44,12
2023-01-08 22:00:00,24,15,47,27,6
2023-01-08 23:00:00,49,16,23,25,9
2023-01-09 00:00:00,70,73,53,27,15
2023-01-09 01:00:00,22,31,12,18,13
2023-01-09 02:00:00,22,37,34,17,17
2023-01-09 03:00:00,13,24,23,17,18
2023-01-09 04:00:00,38,32,33,15,16
2023-01-09 05:00:00,39,17,12,17,15
2023-01-09 06:00:00,42,33,37,11,16
2023-01-09 07:00:00,44,13,31,7,12
2023-01-09 08:00:00,12,13,37,16,15
2023-01-09 09:00:00,37,27,32,12,13
2023-01-09 10:00:00,10,19,38,15,10
2023-01-09 11:00:00,34,35,37,17,20
2023-01-09 12:00:00,79,35,71,17,18
2023-01-09 13:00:00,54,42,32,35,22
2023-01-09 14:00:00,71,36,72,26,16
